値段,株数,金額,時刻
16130,82500,1330725000,15:30:00
15880,200,3176000,15:24:59
15890,200,3178000,15:24:59
16045,100,1604500,15:24:59
15910,100,1591000,15:24:59
15900,100,1590000,15:24:59
15905,100,1590500,15:24:59
15900,800,12720000,15:24:59
15910,100,1591000,15:24:59
15910,300,4773000,15:24:59
15930,100,1593000,15:24:59
15930,100,1593000,15:24:59
15940,100,1594000,15:24:59
15945,100,1594500,15:24:59
15950,800,12760000,15:24:59
15955,100,1595500,15:24:59
15960,100,1596000,15:24:59
15960,100,1596000,15:24:59
15960,100,1596000,15:24:59
15965,100,1596500,15:24:59
15970,200,3194000,15:24:59
15975,200,3195000,15:24:59
16045,100,1604500,15:24:59
16015,100,1601500,15:24:59
16045,100,1604500,15:24:59
16045,100,1604500,15:24:59
15985,100,1598500,15:24:57
16030,200,3206000,15:24:57
15975,100,1597500,15:24:57
15980,100,1598000,15:24:57
15980,100,1598000,15:24:57
16000,100,1600000,15:24:57
15980,100,1598000,15:24:57
15980,200,3196000,15:24:57
15980,100,1598000,15:24:57
15980,100,1598000,15:24:57
16000,100,1600000,15:24:57
15980,100,1598000,15:24:57
16000,100,1600000,15:24:57
15980,100,1598000,15:24:57
15980,100,1598000,15:24:57
15980,100,1598000,15:24:57
15985,100,1598500,15:24:57
15985,100,1598500,15:24:57
15995,300,4798500,15:24:57
16110,100,1611000,15:24:57
16000,100,1600000,15:24:56
15995,100,1599500,15:24:56
16000,100,1600000,15:24:56
15980,100,1598000,15:24:56
15985,100,1598500,15:24:56
15985,100,1598500,15:24:56
15985,100,1598500,15:24:56
15985,100,1598500,15:24:56
15995,100,1599500,15:24:56
16000,1800,28800000,15:24:56
16000,2100,33600000,15:24:56
16005,300,4801500,15:24:56
16000,2400,38400000,15:24:56
16030,100,1603000,15:24:56
16005,300,4801500,15:24:56
16010,900,14409000,15:24:56
16015,100,1601500,15:24:56
16025,200,3205000,15:24:56
16030,100,1603000,15:24:56
16030,100,1603000,15:24:56
16025,100,1602500,15:24:56
16030,100,1603000,15:24:56
16035,200,3207000,15:24:56
16030,200,3206000,15:24:56
16035,100,1603500,15:24:56
16040,100,1604000,15:24:56
16045,200,3209000,15:24:56
16040,200,3208000,15:24:56
16045,100,1604500,15:24:56
16045,1100,17649500,15:24:56
16050,400,6420000,15:24:56
16055,100,1605500,15:24:56
16065,500,8032500,15:24:56
16070,100,1607000,15:24:56
16070,100,1607000,15:24:56
16075,100,1607500,15:24:56
16075,100,1607500,15:24:56
16080,100,1608000,15:24:56
16085,100,1608500,15:24:56
16130,100,1613000,15:24:56
16085,100,1608500,15:24:56
16135,200,3227000,15:24:56
16080,100,1608000,15:24:56
16095,100,1609500,15:24:56
16090,100,1609000,15:24:56
16095,200,3219000,15:24:56
16100,100,1610000,15:24:56
16100,100,1610000,15:24:56
16105,100,1610500,15:24:56
16100,400,6440000,15:24:56
16105,200,3221000,15:24:56
16110,100,1611000,15:24:56
16115,100,1611500,15:24:56
16140,200,3228000,15:24:55
16135,300,4840500,15:24:55
16130,200,3226000,15:24:55
16125,600,9675000,15:24:54
16125,100,1612500,15:24:53
16125,100,1612500,15:24:52
16125,100,1612500,15:24:52
16125,100,1612500,15:24:52
16085,200,3217000,15:24:50
16135,100,1613500,15:24:50
16115,100,1611500,15:24:48
16100,300,4830000,15:24:48
16095,200,3219000,15:24:48
16065,300,4819500,15:24:47
16090,100,1609000,15:24:47
16065,200,3213000,15:24:47
16070,100,1607000,15:24:47
16095,200,3219000,15:24:47
16095,300,4828500,15:24:46
16090,100,1609000,15:24:46
16070,100,1607000,15:24:46
16070,100,1607000,15:24:46
16070,100,1607000,15:24:46
16065,100,1606500,15:24:46
16070,100,1607000,15:24:46
16075,100,1607500,15:24:46
16085,100,1608500,15:24:46
16085,100,1608500,15:24:46
16070,100,1607000,15:24:46
16070,100,1607000,15:24:46
16085,100,1608500,15:24:46
16070,200,3214000,15:24:46
16075,600,9645000,15:24:46
16080,100,1608000,15:24:46
16080,100,1608000,15:24:46
16090,200,3218000,15:24:46
16085,100,1608500,15:24:46
16075,100,1607500,15:24:46
16080,100,1608000,15:24:46
16090,100,1609000,15:24:46
16080,1600,25728000,15:24:46
16095,100,1609500,15:24:46
16085,100,1608500,15:24:46
16085,200,3217000,15:24:46
16100,100,1610000,15:24:46
16090,500,8045000,15:24:46
16095,300,4828500,15:24:46
16100,2900,46690000,15:24:46
16100,2400,38640000,15:24:46
16105,100,1610500,15:24:46
16105,100,1610500,15:24:46
16110,100,1611000,15:24:46
16110,100,1611000,15:24:44
16120,200,3224000,15:24:44
16115,400,6446000,15:24:44
16120,400,6448000,15:24:44
16120,100,1612000,15:24:41
16145,100,1614500,15:24:41
16120,100,1612000,15:24:40
16145,200,3229000,15:24:40
16110,100,1611000,15:24:40
16110,100,1611000,15:24:40
16105,200,3221000,15:24:40
16105,1000,16105000,15:24:40
16110,500,8055000,15:24:40
16115,100,1611500,15:24:40
16115,100,1611500,15:24:40
16120,100,1612000,15:24:40
16115,300,4834500,15:24:40
16120,100,1612000,15:24:40
16135,100,1613500,15:24:40
16125,100,1612500,15:24:40
16110,1300,20943000,15:24:40
16125,100,1612500,15:24:40
16115,300,4834500,15:24:40
16115,400,6446000,15:24:40
16120,300,4836000,15:24:40
16120,400,6448000,15:24:40
16125,700,11287500,15:24:40
16130,100,1613000,15:24:40
16130,200,3226000,15:24:40
16130,300,4839000,15:24:40
16135,300,4840500,15:24:40
16135,400,6454000,15:24:40
16140,600,9684000,15:24:40
16145,100,1614500,15:24:40
16150,100,1615000,15:24:40
16155,100,1615500,15:24:40
16160,100,1616000,15:24:39
16160,100,1616000,15:24:39
16155,100,1615500,15:24:39
16165,200,3233000,15:24:39
16170,100,1617000,15:24:35
16180,100,1618000,15:24:35
16180,100,1618000,15:24:35
16175,100,1617500,15:24:35
16175,100,1617500,15:24:35
16170,100,1617000,15:24:35
16170,300,4851000,15:24:34
16170,200,3234000,15:24:34
16145,100,1614500,15:24:34
16150,1600,25840000,15:24:34
16155,100,1615500,15:24:34
16150,900,14535000,15:24:34
16150,2400,38760000,15:24:34
16155,300,4846500,15:24:34
16160,500,8080000,15:24:34
16165,300,4849500,15:24:34
16170,500,8085000,15:24:34
16175,100,1617500,15:24:34
16175,300,4852500,15:24:34
16180,600,9708000,15:24:34
16180,400,6472000,15:24:34
16185,800,12948000,15:24:34
16190,200,3238000,15:24:34
16195,100,1619500,15:24:34
16200,100,1620000,15:24:34
16205,100,1620500,15:24:34
16205,100,1620500,15:24:30
16205,100,1620500,15:24:29
16200,200,3240000,15:24:27
16200,100,1620000,15:24:27
16195,100,1619500,15:24:27
16200,100,1620000,15:24:26
16200,100,1620000,15:24:26
16205,100,1620500,15:24:23
16200,500,8100000,15:24:23
16200,200,3240000,15:24:23
16195,100,1619500,15:24:23
16200,100,1620000,15:24:21
16200,100,1620000,15:24:20
16200,1700,27540000,15:24:20
16205,100,1620500,15:24:20
16210,200,3242000,15:24:20
16210,100,1621000,15:24:17
16205,100,1620500,15:24:14
16210,300,4863000,15:24:14
16205,100,1620500,15:24:13
16200,600,9720000,15:24:13
16190,100,1619000,15:24:10
16195,100,1619500,15:24:09
16195,100,1619500,15:24:09
16195,100,1619500,15:24:09
16195,100,1619500,15:24:09
16200,100,1620000,15:24:07
16195,200,3239000,15:24:05
16195,100,1619500,15:24:05
16195,100,1619500,15:24:05
16205,100,1620500,15:24:04
16200,100,1620000,15:24:03
16200,100,1620000,15:24:03
16190,500,8095000,15:24:02
16195,100,1619500,15:24:00
16200,100,1620000,15:24:00
16195,100,1619500,15:24:00
16195,100,1619500,15:23:59
16200,200,3240000,15:23:59
16195,300,4858500,15:23:59
16190,100,1619000,15:23:59
16190,100,1619000,15:23:57
16190,200,3238000,15:23:57
16195,400,6478000,15:23:57
16205,100,1620500,15:23:56
16200,800,12960000,15:23:56
16200,1000,16200000,15:23:56
16200,900,14580000,15:23:56
16200,100,1620000,15:23:56
16200,2400,38880000,15:23:56
16205,100,1620500,15:23:56
16210,100,1621000,15:23:54
16205,200,3241000,15:23:52
16205,100,1620500,15:23:50
16210,200,3242000,15:23:49
16210,100,1621000,15:23:49
16210,100,1621000,15:23:44
16205,100,1620500,15:23:44
16210,100,1621000,15:23:40
16205,100,1620500,15:23:35
16215,100,1621500,15:23:34
16205,500,8102500,15:23:34
16210,100,1621000,15:23:33
16215,100,1621500,15:23:33
16210,100,1621000,15:23:32
16210,800,12968000,15:23:32
16215,400,6486000,15:23:32
16220,100,1622000,15:23:31
16220,200,3244000,15:23:31
16220,100,1622000,15:23:25
16220,100,1622000,15:23:21
16230,100,1623000,15:23:18
16220,100,1622000,15:23:18
16220,300,4866000,15:23:17
16210,100,1621000,15:23:14
16215,100,1621500,15:23:13
16215,500,8107500,15:23:13
16220,500,8110000,15:23:13
16220,600,9732000,15:23:13
16225,100,1622500,15:23:12
16230,100,1623000,15:23:10
16225,200,3245000,15:23:09
16225,200,3245000,15:23:09
16230,600,9738000,15:23:09
16235,100,1623500,15:23:09
16235,100,1623500,15:23:05
16235,100,1623500,15:23:05
16230,600,9738000,15:23:00
16235,400,6494000,15:23:00
16245,100,1624500,15:22:56
16240,100,1624000,15:22:56
16235,100,1623500,15:22:56
16240,100,1624000,15:22:56
16245,200,3249000,15:22:56
16240,100,1624000,15:22:53
16240,300,4872000,15:22:53
16240,100,1624000,15:22:53
16235,200,3247000,15:22:47
16235,100,1623500,15:22:46
16235,700,11364500,15:22:46
16230,200,3246000,15:22:45
16230,100,1623000,15:22:45
16230,100,1623000,15:22:39
16230,100,1623000,15:22:37
16230,100,1623000,15:22:31
16225,300,4867500,15:22:31
16230,800,12984000,15:22:31
16230,100,1623000,15:22:30
16235,100,1623500,15:22:29
16235,100,1623500,15:22:27
16235,100,1623500,15:22:21
16240,300,4872000,15:22:18
16250,300,4875000,15:22:11
16245,100,1624500,15:22:09
16245,100,1624500,15:22:07
16245,200,3249000,15:22:07
16250,300,4875000,15:22:06
16250,600,9750000,15:22:06
16250,300,4875000,15:22:06
16245,300,4873500,15:22:06
16240,300,4872000,15:22:06
16235,100,1623500,15:22:04
16235,200,3247000,15:22:04
16240,100,1624000,15:21:56
16240,600,9744000,15:21:55
16245,100,1624500,15:21:52
16245,100,1624500,15:21:46
16245,100,1624500,15:21:46
16245,100,1624500,15:21:33
16245,100,1624500,15:21:30
16250,400,6500000,15:21:20
16255,100,1625500,15:21:19
16250,100,1625000,15:21:15
16250,100,1625000,15:21:15
16250,200,3250000,15:21:15
16250,100,1625000,15:21:15
16245,200,3249000,15:21:09
16250,100,1625000,15:20:58
16250,100,1625000,15:20:54
16245,100,1624500,15:20:53
16245,100,1624500,15:20:52
16250,300,4875000,15:20:52
16255,100,1625500,15:20:45
16255,100,1625500,15:20:44
16250,200,3250000,15:20:44
16245,300,4873500,15:20:42
16250,700,11375000,15:20:42
16260,100,1626000,15:20:27
16260,100,1626000,15:20:27
16260,100,1626000,15:20:27
16260,200,3252000,15:20:21
16260,100,1626000,15:20:21
16265,300,4879500,15:20:16
16260,100,1626000,15:20:12
16255,200,3251000,15:20:12
16250,1100,17875000,15:20:12
16255,400,6502000,15:20:12
16260,100,1626000,15:20:12
16265,200,3253000,15:20:10
16255,100,1625500,15:20:07
16260,100,1626000,15:20:06
16260,100,1626000,15:20:06
16255,200,3251000,15:20:02
16260,100,1626000,15:20:00
16260,100,1626000,15:19:58
16260,100,1626000,15:19:58
16260,100,1626000,15:19:58
16250,100,1625000,15:19:44
16250,1600,26000000,15:19:44
16255,100,1625500,15:19:38
16255,100,1625500,15:19:37
16255,100,1625500,15:19:34
16255,300,4876500,15:19:34
16260,100,1626000,15:19:30
16265,100,1626500,15:19:29
16260,900,14634000,15:19:27
16265,300,4879500,15:19:27
16270,100,1627000,15:19:25
16270,100,1627000,15:19:23
16270,100,1627000,15:19:11
16270,100,1627000,15:19:11
16265,100,1626500,15:19:10
16260,100,1626000,15:19:00
16265,100,1626500,15:19:00
16270,300,4881000,15:18:56
16270,200,3254000,15:18:53
16265,100,1626500,15:18:49
16270,100,1627000,15:18:49
16265,100,1626500,15:18:49
16265,400,6506000,15:18:49
16270,700,11389000,15:18:49
16275,100,1627500,15:18:48
16275,100,1627500,15:18:46
16280,100,1628000,15:18:42
